timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753567698817,18978,Homepage,200,OK,Light Load 1-8,text,true,,90933,119,5,26,http://localhost:3000/,133,0,1
1753567693431,24366,Homepage,200,OK,Moderate Load 2-14,text,true,,90739,119,21,26,http://localhost:3000/,4370,0,1
1753567718264,302,API - Products,404,Not Found,Moderate Load 2-15,text,false,,21695,131,22,27,http://localhost:3000/api/products,293,0,0
1753567718264,307,API - Products,404,Not Found,Light Load 1-9,text,false,,21695,131,5,27,http://localhost:3000/api/products,296,0,0
1753567718264,310,API - Products,404,Not Found,Moderate Load 2-22,text,false,,21695,131,22,27,http://localhost:3000/api/products,298,0,0
1753567718280,1343,API - Products,404,Not Found,Moderate Load 2-18,text,false,,21695,131,23,28,http://localhost:3000/api/products,1314,0,0
1753567718280,1349,API - Products,404,Not Found,Moderate Load 2-21,text,false,,21695,131,23,28,http://localhost:3000/api/products,1316,0,0
1753567718280,1353,API - Products,404,Not Found,Moderate Load 2-16,text,false,,21695,131,23,28,http://localhost:3000/api/products,1318,0,0
1753567718280,1359,API - Products,404,Not Found,Moderate Load 2-23,text,false,,21695,131,23,28,http://localhost:3000/api/products,1320,0,0
1753567718280,1364,API - Products,404,Not Found,Moderate Load 2-19,text,false,,21695,131,23,28,http://localhost:3000/api/products,1322,0,0
1753567718296,1352,API - Products,404,Not Found,Moderate Load 2-20,text,false,,21695,131,23,28,http://localhost:3000/api/products,1309,0,0
1753567718296,1356,API - Products,404,Not Found,Moderate Load 2-17,text,false,,21695,131,23,28,http://localhost:3000/api/products,1311,0,0
1753567718296,1363,API - Products,404,Not Found,Light Load 1-6,text,false,,21695,131,5,28,http://localhost:3000/api/products,1313,0,0
1753567718296,1371,API - Products,404,Not Found,Light Load 1-7,text,false,,21695,131,5,28,http://localhost:3000/api/products,1315,0,0
1753567718311,1361,API - Products,404,Not Found,Moderate Load 2-14,text,false,,21695,131,23,28,http://localhost:3000/api/products,1302,0,0
1753567718311,1367,API - Products,404,Not Found,Light Load 1-8,text,false,,21695,131,5,28,http://localhost:3000/api/products,1305,0,0
1753567719066,924,Main Bundle,404,Not Found,Moderate Load 2-15,text,false,,21704,136,23,28,http://localhost:3000/static/js/main.js,917,0,0
1753567719071,924,Main Bundle,404,Not Found,Light Load 1-9,text,false,,21704,136,5,27,http://localhost:3000/static/js/main.js,914,0,0
1753567719076,922,Main Bundle,404,Not Found,Moderate Load 2-22,text,false,,21704,136,22,26,http://localhost:3000/static/js/main.js,911,0,0
1753567720140,1291,Main Bundle,404,Not Found,Moderate Load 2-23,text,false,,21704,136,22,26,http://localhost:3000/static/js/main.js,1270,0,0
1753567720125,1310,Main Bundle,404,Not Found,Moderate Load 2-18,text,false,,21704,136,21,25,http://localhost:3000/static/js/main.js,1287,0,0
1753567720140,1299,Main Bundle,404,Not Found,Moderate Load 2-16,text,false,,21704,136,20,24,http://localhost:3000/static/js/main.js,1274,0,0
1753567720140,1308,Main Bundle,404,Not Found,Moderate Load 2-21,text,false,,21704,136,19,23,http://localhost:3000/static/js/main.js,1275,0,0
1753567720156,1301,Main Bundle,404,Not Found,Moderate Load 2-19,text,false,,21704,136,18,22,http://localhost:3000/static/js/main.js,1261,0,0
1753567720156,1307,Main Bundle,404,Not Found,Moderate Load 2-17,text,false,,21704,136,17,21,http://localhost:3000/static/js/main.js,1262,0,0
1753567720156,1315,Main Bundle,404,Not Found,Moderate Load 2-20,text,false,,21704,136,16,20,http://localhost:3000/static/js/main.js,1264,0,0
1753567720172,1304,Main Bundle,404,Not Found,Light Load 1-6,text,false,,21704,136,4,19,http://localhost:3000/static/js/main.js,1250,0,0
1753567720172,1309,Main Bundle,404,Not Found,Light Load 1-7,text,false,,21704,136,3,18,http://localhost:3000/static/js/main.js,1252,0,0
1753567720187,1300,Main Bundle,404,Not Found,Light Load 1-8,text,false,,21704,136,2,17,http://localhost:3000/static/js/main.js,1239,0,0
